episode,turns,won,opponent_type,rl_total,rl_action_head,rl_target_head,rl_card_select_head,opp_total,opp_action_head,opp_target_head,opp_card_select_head
92620,11,1,ComputerPlayer7,12,12,0,0,0,0,0,0
92611,14,0,ComputerPlayer7,30,23,0,7,0,0,0,0
92617,12,0,ComputerPlayer7,15,15,0,0,0,0,0,0
92613,18,0,ComputerPlayer7,26,25,1,0,0,0,0,0
92547,24,0,ComputerPlayer7,93,82,5,6,0,0,0,0
92590,20,0,ComputerPlayer7,43,38,3,2,0,0,0,0
92564,18,0,ComputerPlayer7,78,62,7,9,0,0,0,0
92542,26,0,ComputerPlayer7,115,97,3,15,0,0,0,0
92518,35,1,ComputerPlayer7,115,102,8,5,0,0,0,0
92625,12,0,ComputerPlayer7,13,11,1,1,0,0,0,0
92608,26,0,ComputerPlayer7,31,31,0,0,0,0,0,0
92582,16,0,ComputerPlayer7,60,54,6,0,0,0,0,0
92642,8,0,ComputerPlayer7,7,5,2,0,0,0,0,0
92587,24,0,ComputerPlayer7,61,48,5,8,0,0,0,0
92634,8,0,ComputerPlayer7,12,11,1,0,0,0,0,0
92638,10,0,ComputerPlayer7,11,8,2,1,0,0,0,0
92603,18,0,ComputerPlayer7,44,37,6,1,0,0,0,0
92630,14,0,ComputerPlayer7,20,13,7,0,0,0,0,0
92593,38,0,ComputerPlayer7,58,50,4,4,0,0,0,0
92571,16,0,ComputerPlayer7,62,55,6,1,0,0,0,0
92627,10,0,ComputerPlayer7,25,20,5,0,0,0,0,0
92495,20,0,ComputerPlayer7,115,104,7,4,0,0,0,0
92624,10,0,ComputerPlayer7,29,19,8,2,0,0,0,0
92588,29,1,ComputerPlayer7,55,46,4,5,0,0,0,0
92616,19,1,ComputerPlayer7,35,30,0,5,0,0,0,0
92621,16,0,ComputerPlayer7,30,28,2,0,0,0,0,0
92604,22,0,ComputerPlayer7,45,42,3,0,0,0,0,0
92641,15,1,ComputerPlayer7,26,23,1,2,0,0,0,0
92645,16,0,ComputerPlayer7,20,18,2,0,0,0,0,0
92628,12,0,ComputerPlayer7,39,36,3,0,0,0,0,0
92640,16,0,ComputerPlayer7,42,42,0,0,0,0,0,0
92629,20,0,ComputerPlayer7,51,48,1,2,0,0,0,0
92647,18,0,ComputerPlayer7,40,39,1,0,0,0,0,0
92605,25,1,ComputerPlayer7,55,53,2,0,0,0,0,0
92558,17,1,ComputerPlayer7,76,68,8,0,0,0,0,0
92522,48,0,ComputerPlayer7,132,105,10,17,0,0,0,0
92663,11,1,ComputerPlayer7,17,17,0,0,0,0,0,0
92646,8,0,ComputerPlayer7,34,32,2,0,0,0,0,0
92612,22,0,ComputerPlayer7,52,51,1,0,0,0,0,0
92652,22,0,ComputerPlayer7,32,27,3,2,0,0,0,0
92615,22,0,ComputerPlayer7,77,71,2,4,0,0,0,0
92633,17,1,ComputerPlayer7,45,38,7,0,0,0,0,0
92585,22,0,ComputerPlayer7,82,74,8,0,0,0,0,0
92660,12,0,ComputerPlayer7,31,29,2,0,0,0,0,0
92631,20,0,ComputerPlayer7,51,37,5,9,0,0,0,0
92600,24,0,ComputerPlayer7,71,63,7,1,0,0,0,0
92654,19,1,ComputerPlayer7,32,30,2,0,0,0,0,0
92635,18,0,ComputerPlayer7,47,39,8,0,0,0,0,0
92684,8,0,ComputerPlayer7,4,3,1,0,0,0,0,0
92610,22,0,ComputerPlayer7,73,61,8,4,0,0,0,0
92649,17,1,ComputerPlayer7,43,36,2,5,0,0,0,0
92636,17,1,ComputerPlayer7,54,40,11,3,0,0,0,0
92678,15,1,ComputerPlayer7,21,16,3,2,0,0,0,0
92661,14,0,ComputerPlayer7,62,61,1,0,0,0,0,0
92670,13,1,ComputerPlayer7,37,28,9,0,0,0,0,0
92665,16,0,ComputerPlayer7,21,19,2,0,0,0,0,0
92680,18,0,ComputerPlayer7,27,27,0,0,0,0,0,0
92643,20,0,ComputerPlayer7,46,42,3,1,0,0,0,0
92609,28,0,ComputerPlayer7,79,71,8,0,0,0,0,0
92667,28,0,ComputerPlayer7,27,23,4,0,0,0,0,0
92679,18,0,ComputerPlayer7,34,33,1,0,0,0,0,0
92623,31,1,ComputerPlayer7,78,59,15,4,0,0,0,0
92676,12,0,ComputerPlayer7,28,25,3,0,0,0,0,0
92681,8,0,ComputerPlayer7,24,21,2,1,0,0,0,0
92673,16,0,ComputerPlayer7,28,27,1,0,0,0,0,0
92639,13,1,ComputerPlayer7,68,61,6,1,0,0,0,0
92637,24,0,ComputerPlayer7,75,71,2,2,0,0,0,0
92546,28,0,ComputerPlayer7,169,147,14,8,0,0,0,0
92622,21,1,ComputerPlayer7,81,68,7,6,0,0,0,0
92682,13,1,ComputerPlayer7,25,19,4,2,0,0,0,0
92656,20,0,ComputerPlayer7,53,48,5,0,0,0,0,0
